h2vmba3uEV22,h2vmba2uEV22,h2v0ba3uEV22,h2v0ba2uEV22,h2v0ba1uEV22,h1vmba2uEV22,h1v0ba3uEV22,h1v0ba2uEV22,h1v0ba1uEV22,A2vmba2uEV12,A2v0ba3uEV12,A2v0ba2uEV12,A2v0ba1uEV12,A1vmba2uEV12,A1v0ba3uEV12,A1v0ba2uEV12,A1v0ba1uEV12
0.41048867,0.351098937,0.25477224,0.345057099,0.234285714,0.232308175,0.170917135,0.232609551,0.177920863,0.159118288,0.134425088,0.130875114,0.085521438,0.125291706,0.088216115,0.105699514,0.07262362
0.530280788,0.503964596,0.30179897,0.431016785,0.26910078,0.313986331,0.192583337,0.261762587,0.19668442,0.229901253,0.167437055,0.164846928,0.103736066,0.183768165,0.10353136,0.121626849,0.079633705
0.637587685,0.590622598,0.389847912,0.457627739,0.279042694,0.366628328,0.241992357,0.273668797,0.194049363,0.291134368,0.236457423,0.190175009,0.128445737,0.216310183,0.1392859,0.131843158,0.090119962
0.636652709,0.553748373,0.489362995,0.458377078,0.290934495,0.340784239,0.29875527,0.277238768,0.201776892,0.284911832,0.309989941,0.194921811,0.14055288,0.200738949,0.181800206,0.137126987,0.091317021
0.677342365,0.551954112,0.531587018,0.463426267,0.303164466,0.34115173,0.314105929,0.281913971,0.202395219,0.297499912,0.344132843,0.206492638,0.150777739,0.204744787,0.191198546,0.140660021,0.093951056
0.683312808,0.552183335,0.528681088,0.46320956,0.325653869,0.352227619,0.305639183,0.287596517,0.218207006,0.316266846,0.340809816,0.216077755,0.162486816,0.218633196,0.186364538,0.144920639,0.100283469
0.689367488,0.562709671,0.533938184,0.471547515,0.346244151,0.367248731,0.310365802,0.291775658,0.233512351,0.341063832,0.343413886,0.23082773,0.184432339,0.228584025,0.187185958,0.150468919,0.10870448
0.695805419,0.579207015,0.506360685,0.477307122,0.377470906,0.382818477,0.292289289,0.294138677,0.245061404,0.366811216,0.323794847,0.244216839,0.211513871,0.246342663,0.178249135,0.154461933,0.120116265
0.700104433,0.587274396,0.480038412,0.475910589,0.376370126,0.3901576,0.275461259,0.29173688,0.246660032,0.390412715,0.310384508,0.24855926,0.217274036,0.261590607,0.165858182,0.156599126,0.129519904
0.725424138,0.616622324,0.494652684,0.48937911,0.397260948,0.411736052,0.281920039,0.299142709,0.241318218,0.428881857,0.327822658,0.260622169,0.226610006,0.285865397,0.174283469,0.162455951,0.137267601
0.802447783,0.697078353,0.519753974,0.538174166,0.434557623,0.46275059,0.296645133,0.322038477,0.262003192,0.486419491,0.349714087,0.287394778,0.23773919,0.329150552,0.18747397,0.17910834,0.147130731
1.01293202,0.964625483,0.645511637,0.692474311,0.528836833,0.623731291,0.357648843,0.392800635,0.318905255,0.634385651,0.450877015,0.35572094,0.284762967,0.45998796,0.233511286,0.224667633,0.168396603
1.330083251,1.360461245,0.868554907,0.957671943,0.728907019,0.87023659,0.447960161,0.501937486,0.394573365,0.820664754,0.61258026,0.509460206,0.42362336,0.630262631,0.292844372,0.292809268,0.232879646
1.231599507,1.223416599,0.775414451,0.945825744,0.766140972,0.829725707,0.421346757,0.519014993,0.438875,0.701201241,0.529810645,0.555587472,0.513116247,0.568736087,0.271981784,0.308025301,0.268987693
1.074005911,1.072758504,0.65405648,0.818326374,0.662589082,0.725331419,0.372485546,0.471904254,0.393839329,0.599047059,0.43053721,0.465860952,0.419372628,0.474084872,0.236382942,0.278046486,0.232115136
0.958366995,0.924499847,0.575327101,0.704712925,0.583429514,0.630489896,0.342609258,0.427718492,0.355676494,0.514186841,0.377749509,0.393749547,0.34636628,0.406642831,0.215505229,0.248248622,0.206537688
0.861097537,0.77687873,0.51969405,0.611974195,0.519158368,0.542004363,0.317306575,0.38892989,0.341360956,0.440027275,0.337049718,0.343881298,0.305196714,0.341688099,0.196252014,0.224060038,0.187073042
0.733060591,0.605571592,0.455768301,0.50184702,0.43259808,0.432460333,0.276363769,0.335045341,0.314871019,0.351941748,0.28481662,0.276912977,0.252544253,0.26849398,0.165701998,0.193383644,0.161582198
0.578324631,0.447880845,0.358395214,0.391668309,0.343130174,0.331188524,0.225085826,0.280666167,0.263194422,0.264619781,0.214999346,0.210317586,0.187648297,0.203757552,0.128616438,0.157715205,0.135210879
0.465860236,0.360946097,0.285633818,0.328362433,0.28034973,0.265874672,0.190011452,0.244357818,0.229113509,0.204897951,0.163017432,0.16502319,0.141135736,0.160797202,0.104797548,0.131041802,0.110018656
0.399804433,0.319215711,0.249891012,0.296563639,0.251265747,0.230272209,0.171840461,0.222235699,0.211346369,0.167222489,0.136404649,0.13761676,0.111864479,0.134505699,0.090943414,0.113731139,0.093527281
0.378150246,0.30319162,0.238818681,0.283078237,0.233918318,0.214546787,0.166142827,0.211201554,0.2006072,0.148765997,0.125207218,0.122929501,0.097080166,0.119057355,0.085878828,0.103798681,0.082980451
0.367940945,0.297103292,0.235519726,0.279995553,0.216776845,0.207649107,0.16339956,0.20747855,0.18996249,0.139873587,0.121427846,0.115802933,0.087675769,0.11175678,0.08362749,0.098706287,0.076760825
0.373834072,0.302033809,0.237128656,0.292091718,0.215271909,0.208680381,0.163962138,0.211438426,0.178990423,0.139635762,0.123928133,0.116028321,0.083428917,0.110210591,0.083545615,0.09816869,0.072234744
0.419894089,0.354590765,0.252241257,0.34548376,0.235002402,0.237334135,0.170087859,0.232412769,0.189223642,0.162085759,0.136714835,0.133083271,0.086686485,0.129634493,0.088503309,0.10643867,0.073117351
0.581796944,0.547843857,0.30035462,0.434051953,0.27555976,0.351966996,0.191791968,0.263862153,0.20595614,0.253810868,0.170928782,0.166688382,0.105467312,0.203290825,0.10524717,0.123117433,0.083668826
0.683383744,0.645143319,0.390070979,0.460920489,0.290667067,0.415940058,0.240737338,0.276279894,0.21935502,0.320026689,0.239112474,0.192555143,0.136014411,0.246648035,0.14045983,0.133069612,0.094081275
0.664542365,0.554657807,0.485335366,0.456184535,0.30101021,0.351673496,0.295356995,0.277165681,0.210845048,0.29537197,0.310938829,0.198972083,0.143223643,0.204930776,0.180547464,0.136982889,0.090691312
0.674887685,0.513224411,0.509652241,0.450538267,0.315034255,0.326347702,0.300819256,0.280085298,0.214867518,0.293067303,0.323078226,0.205110482,0.149381682,0.194579213,0.182197279,0.139417614,0.093023849
0.656759606,0.495693199,0.506890451,0.449965497,0.33510349,0.318251614,0.29482141,0.280288606,0.216810552,0.298476896,0.31831591,0.211339418,0.162293263,0.195297935,0.175272727,0.141524922,0.099142823
0.674651724,0.49740049,0.510893632,0.45453314,0.33364363,0.324034346,0.298259222,0.283381555,0.225930288,0.313175771,0.323477589,0.222512677,0.180424427,0.205820537,0.177145064,0.145201485,0.107830277
0.654081773,0.50763729,0.48634742,0.459763444,0.368078679,0.335637518,0.282794841,0.285930804,0.236630905,0.333959063,0.309818338,0.236169915,0.199906369,0.220222599,0.169466383,0.149162443,0.11647836
